kingdom;phylum;klass;order;family;genus;species;subspecies;scientific_name;author
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Pseudois;nayaur;;Pseudois nayaur;(Hodgson, 1833)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Pseudoryx;nghetinhensis;;Pseudoryx nghetinhensis;Dung, Giao, Chinh, Touc, Arctander & MacKinnon, 1993
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Rupicapra;pyrenaica;ornata;Rupicapra pyrenaica ornata;Neumann, 1899
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Saiga;borealis;;Saiga borealis;(Tschersky, 1876)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Saiga;tatarica;;Saiga tatarica;(Linnaeus, 1766)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Tetracerus;quadricornis;;Tetracerus quadricornis;(de Blainville, 1816)
Animalia;Chordata;Mammalia;Artiodactyla;Camelidae;Lama;guanicoe;;Lama guanicoe;(P. L. S. Müller, 1776)
Animalia;Chordata;Mammalia;Artiodactyla;Camelidae;Vicugna;vicugna;;Vicugna vicugna;(Molina, 1782)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Axis;calamianensis;;Axis calamianensis;(Heude, 1888)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Axis;kuhlii;;Axis kuhlii;(Temminck, 1836)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Axis;porcinus;;Axis porcinus;(Zimmermann, 1780)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Axis;porcinus;annamiticus;Axis porcinus annamiticus;(Heude, 1888)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Blastocerus;dichotomus;;Blastocerus dichotomus;(Illiger, 1815)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Cervus;elaphus;bactrianus;Cervus elaphus bactrianus;Lydekker, 1900
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Cervus;elaphus;barbarus;Cervus elaphus barbarus;Bennett, 1833
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Cervus;elaphus;hanglu;Cervus elaphus hanglu;Wagner, 1844
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Dama;dama;mesopotamica;Dama dama mesopotamica;
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Hippocamelus;antisensis;;Hippocamelus antisensis;(d'Orbigny, 1834)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Hippocamelus;bisulcus;;Hippocamelus bisulcus;(Molina, 1782)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Mazama;temama;cerasina;Mazama temama cerasina;Hollister, 1914
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Muntiacus;crinifrons;;Muntiacus crinifrons;(Sclater, 1885)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Muntiacus;vuquanghensis;;Muntiacus vuquanghensis;(Tuoc, Dung, Dawson, Arctander & MacKinnon, 1994)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Odocoileus;virginianus;mayensis;Odocoileus virginianus mayensis;""
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Ozotoceros;bezoarticus;;Ozotoceros bezoarticus;(Linnaeus, 1758)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Pudu;mephistophiles;;Pudu mephistophiles;(de Winton, 1896)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Pudu;puda;;Pudu puda;(Molina, 1782)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Rucervus;duvaucelii;;Rucervus duvaucelii;(G. Cuvier, 1823)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Rucervus;eldii;;Rucervus eldii;(McClelland, 1842)
Animalia;Chordata;Mammalia;Artiodactyla;Hippopotamidae;Hexaprotodon;liberiensis;;Hexaprotodon liberiensis;(Morton, 1849)
Animalia;Chordata;Mammalia;Artiodactyla;Hippopotamidae;Hippopotamus;amphibius;;Hippopotamus amphibius;Linnaeus, 1758
Animalia;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;anhuiensis;;Moschus anhuiensis;Wang, Hu & Yan, 1982
Animalia;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;berezovskii;;Moschus berezovskii;Flerov, 1929
Animalia;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;chrysogaster;;Moschus chrysogaster;(Hodgson, 1839)
Animalia;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;cupreus;;Moschus cupreus;Grubb, 1982
Animalia;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;fuscus;;Moschus fuscus;Li, 1981
Animalia;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;leucogaster;;Moschus leucogaster;Hodgson, 1839
Animalia;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;moschiferus;;Moschus moschiferus;Linnaeus, 1758
Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Babyrousa;babyrussa;;Babyrousa babyrussa;(Linnaeus, 1758)
Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Babyrousa;bolabatuensis;;Babyrousa bolabatuensis;Hoojer, 1950
Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Babyrousa;celebensis;;Babyrousa celebensis;(Deninger, 1909)
Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Babyrousa;togeanensis;;Babyrousa togeanensis;(Sody, 1949)
Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Sus;salvanius;;Sus salvanius;(Hodgson, 1847)
Animalia;Chordata;Mammalia;Artiodactyla;Tayassuidae;Catagonus;wagneri;;Catagonus wagneri;(Rusconi, 1930)
Animalia;Chordata;Mammalia;Artiodactyla;Tayassuidae;Pecari;tajacu;;Pecari tajacu;(Linnaeus, 1758)
Animalia;Chordata;Mammalia;Artiodactyla;Tayassuidae;Tayassu;pecari;;Tayassu pecari;(Link, 1795)
Animalia;Chordata;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;;Ailurus fulgens;F. G. Cuvier, 1825
Animalia;Chordata;Mammalia;Carnivora;Canidae;Canis;aureus;;Canis aureus;Linnaeus, 1758
Animalia;Chordata;Mammalia;Carnivora;Canidae;Canis;lupus;;Canis lupus;Linnaeus, 1758
Animalia;Chordata;Mammalia;Carnivora;Canidae;Cerdocyon;thous;;Cerdocyon thous;(Linnaeus, 1766)
Animalia;Chordata;Mammalia;Carnivora;Canidae;Chrysocyon;brachyurus;;Chrysocyon brachyurus;(Illiger, 1815)
Animalia;Chordata;Mammalia;Carnivora;Canidae;Cuon;alpinus;;Cuon alpinus;(Pallas, 1811)
Animalia;Chordata;Mammalia;Carnivora;Canidae;Lycalopex;culpaeus;;Lycalopex culpaeus;(Molina, 1782)
Animalia;Chordata;Mammalia;Carnivora;Canidae;Lycalopex;fulvipes;;Lycalopex fulvipes;(Martin, 1837)
Animalia;Chordata;Mammalia;Carnivora;Canidae;Lycalopex;griseus;;Lycalopex griseus;(Gray, 1837)
Animalia;Chordata;Mammalia;Carnivora;Canidae;Lycalopex;gymnocercus;;Lycalopex gymnocercus;(G. Fischer, 1814)
Animalia;Chordata;Mammalia;Carnivora;Canidae;Speothos;venaticus;;Speothos venaticus;(Lund, 1842)
Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;bengalensis;;Vulpes bengalensis;(Shaw, 1800)
Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;cana;;Vulpes cana;Blanford, 1877
Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;vulpes;griffithi;Vulpes vulpes griffithi;Blyth, 1854
Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;vulpes;montana;Vulpes vulpes montana;Pearson, 1836
Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;vulpes;pusilla;Vulpes vulpes pusilla;Blyth, 1854
Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;zerda;;Vulpes zerda;(Zimmermann, 1780)
Animalia;Chordata;Mammalia;Carnivora;Eupleridae;Cryptoprocta;ferox;;Cryptoprocta ferox;Bennett, 1833
Animalia;Chordata;Mammalia;Carnivora;Eupleridae;Eupleres;goudotii;;Eupleres goudotii;Doyère, 1835
Animalia;Chordata;Mammalia;Carnivora;Eupleridae;Fossa;fossana;;Fossa fossana;(P. L. S. Müller, 1776)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;;Acinonyx jubatus;(Schreber, 1775)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Caracal;caracal;;Caracal caracal;(Schreber, 1776)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Catopuma;badia;;Catopuma badia;(Gray, 1874)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Catopuma;temminckii;;Catopuma temminckii;(Vigors & Horsfield, 1827)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis;bieti;;Felis bieti;Milne-Edwards, 1892
Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis;chaus;;Felis chaus;Schreber, 1777
Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis;manul;;Felis manul;Pallas, 1776
Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis;margarita;;Felis margarita;Loche, 1858
Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis;nigripes;;Felis nigripes;Burchell, 1824
Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis;silvestris;;Felis silvestris;Schreber, 1777
Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;braccatus;;Leopardus braccatus;(Cope, 1889)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;colocolo;;Leopardus colocolo;(Molina, 1782)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;geoffroyi;;Leopardus geoffroyi;(d'Orbigny & Gervais, 1844)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;guigna;;Leopardus guigna;(Molina, 1782)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;jacobitus;;Leopardus jacobitus;(Cornalia, 1865)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;pajeros;;Leopardus pajeros;(Desmarest, 1816)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;pardalis;;Leopardus pardalis;(Linnaeus, 1758)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;tigrinus;;Leopardus tigrinus;(Schreber, 1775)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;wiedii;;Leopardus wiedii;(Schinz, 1821)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Leptailurus;serval;;Leptailurus serval;(Schreber, 1776)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Lynx;canadensis;;Lynx canadensis;Kerr, 1792
Animalia;Chordata;Mammalia;Carnivora;Felidae;Lynx;lynx;;Lynx lynx;(Linnaeus, 1758)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Lynx;pardinus;;Lynx pardinus;(Temminck, 1827)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Lynx;rufus;;Lynx rufus;(Schreber, 1777)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Neofelis;nebulosa;;Neofelis nebulosa;(Griffith, 1821)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Panthera;leo;;Panthera leo;(Linnaeus, 1758)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Panthera;leo;persica;Panthera leo persica;Meyer, 1826
Animalia;Chordata;Mammalia;Carnivora;Felidae;Panthera;onca;;Panthera onca;(Linnaeus, 1758)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Panthera;pardus;;Panthera pardus;(Linnaeus, 1758)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Panthera;tigris;;Panthera tigris;(Linnaeus, 1758)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Pardofelis;marmorata;;Pardofelis marmorata;(Martin, 1837)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Prionailurus;bengalensis;;Prionailurus bengalensis;(Kerr, 1792)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Prionailurus;bengalensis;bengalensis;Prionailurus bengalensis bengalensis;(Kerr, 1792)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Prionailurus;iriomotensis;;Prionailurus iriomotensis;Imaizumi, 1967
Animalia;Chordata;Mammalia;Carnivora;Felidae;Prionailurus;planiceps;;Prionailurus planiceps;(Vigors & Horsfield , 1827)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Prionailurus;rubiginosus;;Prionailurus rubiginosus;(I. Geoffroy Saint-Hilaire, 1831)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Prionailurus;viverrinus;;Prionailurus viverrinus;(Bennett, 1833)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Profelis;aurata;;Profelis aurata;(Temminck, 1827)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;concolor;;Puma concolor;(Linnaeus, 1771)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;concolor;costaricensis;Puma concolor costaricensis;(Merriam, 1901)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;concolor;couguar;Puma concolor couguar;(Kerr, 1792)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;yagouaroundi;;Puma yagouaroundi;(É. Geoffroy Saint-Hilaire, 1803)
Animalia;Chordata;Mammalia;Carnivora;Felidae;Uncia;uncia;;Uncia uncia;(Schreber, 1775)
Animalia;Chordata;Mammalia;Carnivora;Herpestidae;Herpestes;edwardsi;;Herpestes edwardsi;(E. Geoffroy Saint-Hilaire, 1818)
Animalia;Chordata;Mammalia;Carnivora;Herpestidae;Herpestes;fuscus;;Herpestes fuscus;Waterhouse, 1838
Animalia;Chordata;Mammalia;Carnivora;Herpestidae;Herpestes;javanicus;;Herpestes javanicus;(É. Geoffroy Saint-Hilaire, 1818)
Animalia;Chordata;Mammalia;Carnivora;Herpestidae;Herpestes;javanicus;auropunctatus;Herpestes javanicus auropunctatus;(Hodgson, 1836)
Animalia;Chordata;Mammalia;Carnivora;Herpestidae;Herpestes;smithii;;Herpestes smithii;Gray, 1837
Animalia;Chordata;Mammalia;Carnivora;Herpestidae;Herpestes;urva;;Herpestes urva;(Hodgson, 1836)
Animalia;Chordata;Mammalia;Carnivora;Herpestidae;Herpestes;vitticollis;;Herpestes vitticollis;Bennett, 1835
Animalia;Chordata;Mammalia;Carnivora;Hyaenidae;Hyaena;hyaena;;Hyaena hyaena;(Linnaeus, 1758)
Animalia;Chordata;Mammalia;Carnivora;Hyaenidae;Proteles;cristata;;Proteles cristata;(Sparrman, 1783)
Animalia;Chordata;Mammalia;Carnivora;Mephitidae;Conepatus;humboldtii;;Conepatus humboldtii;Gray, 1837
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Aonyx;capensis;;Aonyx capensis;(Schinz, 1821)
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Aonyx;capensis;microdon;Aonyx capensis microdon;
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Aonyx;cinerea;;Aonyx cinerea;(Illiger, 1815)
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Enhydra;lutris;;Enhydra lutris;(Linnaeus, 1758)
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Enhydra;lutris;nereis;Enhydra lutris nereis;(Merriam, 1904)
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Hydrictis;maculicollis;;Hydrictis maculicollis;(Lichtenstein, 1835)
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Lontra;canadensis;;Lontra canadensis;(Schreber, 1777)
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Lontra;felina;;Lontra felina;(Molina, 1782)
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Lontra;longicaudis;;Lontra longicaudis;(Olfers, 1818)
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Lontra;provocax;;Lontra provocax;(Thomas, 1908)
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Lutra;lutra;;Lutra lutra;(Linnaeus, 1758)
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Lutra;nippon;;Lutra nippon;Imaizumi & Yoshiyuki, 1989
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Lutra;sumatrana;;Lutra sumatrana;(Gray, 1865)
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Lutrogale;perspicillata;;Lutrogale perspicillata;(I. Geoffroy Saint-Hilaire, 1826)
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Pteronura;brasiliensis;;Pteronura brasiliensis;(Gmelin, 1788)
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Eira;barbara;;Eira barbara;(Linnaeus, 1758)
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Galictis;vittata;;Galictis vittata;(Schreber, 1776)
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Martes;flavigula;;Martes flavigula;(Boddaert, 1785)
